104:  1/5 : 86.7% | 2/5 : 72.4% | 3/5 : 58.1% | 4/5 : 49.5% | 5/5 : 45.7% | 6/5 : 312.4% ||
105:  1/5 : 86.8% | 2/5 : 71.7% | 3/5 : 57.5% | 4/5 : 49.1% | 5/5 : 45.3% | 6/5 : 310.4% ||
106:  1/5 : 86.9% | 2/5 : 72.0% | 3/5 : 57.9% | 4/5 : 49.5% | 5/5 : 44.9% | 6/5 : 311.2% ||
107:  1/5 : 87.0% | 2/5 : 72.2% | 3/5 : 58.3% | 4/5 : 49.1% | 5/5 : 44.4% | 6/5 : 311.1% ||
108:  1/5 : 87.2% | 2/5 : 71.6% | 3/5 : 57.8% | 4/5 : 48.6% | 5/5 : 44.0% | 6/5 : 309.2% ||
109:  1/5 : 86.4% | 2/5 : 70.9% | 3/5 : 57.3% | 4/5 : 48.2% | 5/5 : 43.6% | 6/5 : 306.4% ||
110:  1/5 : 86.5% | 2/5 : 70.3% | 3/5 : 56.8% | 4/5 : 47.7% | 5/5 : 43.2% | 6/5 : 304.5% ||
111:  1/5 : 86.6% | 2/5 : 69.6% | 3/5 : 56.2% | 4/5 : 47.3% | 5/5 : 42.9% | 6/5 : 302.7% ||
112:  1/5 : 85.8% | 2/5 : 69.0% | 3/5 : 55.8% | 4/5 : 46.9% | 5/5 : 42.5% | 6/5 : 300.0% ||
113:  1/5 : 86.0% | 2/5 : 69.3% | 3/5 : 56.1% | 4/5 : 47.4% | 5/5 : 43.0% | 6/5 : 301.8% ||
114:  1/5 : 86.1% | 2/5 : 69.6% | 3/5 : 56.5% | 4/5 : 47.8% | 5/5 : 43.5% | 6/5 : 303.5% ||
115:  1/5 : 86.2% | 2/5 : 69.8% | 3/5 : 56.9% | 4/5 : 48.3% | 5/5 : 44.0% | 6/5 : 305.2% ||
116:  1/5 : 86.3% | 2/5 : 70.1% | 3/5 : 57.3% | 4/5 : 48.7% | 5/5 : 43.6% | 6/5 : 306.0% ||
117:  1/5 : 85.6% | 2/5 : 69.5% | 3/5 : 56.8% | 4/5 : 48.3% | 5/5 : 43.2% | 6/5 : 303.4% ||
118:  1/5 : 85.7% | 2/5 : 69.7% | 3/5 : 57.1% | 4/5 : 48.7% | 5/5 : 42.9% | 6/5 : 304.2% ||
119:  1/5 : 85.8% | 2/5 : 70.0% | 3/5 : 57.5% | 4/5 : 49.2% | 5/5 : 43.3% | 6/5 : 305.8% ||
120:  1/5 : 86.0% | 2/5 : 70.2% | 3/5 : 57.9% | 4/5 : 49.6% | 5/5 : 43.8% | 6/5 : 307.4% ||
121:  1/5 : 86.1% | 2/5 : 70.5% | 3/5 : 57.4% | 4/5 : 49.2% | 5/5 : 43.4% | 6/5 : 306.6% ||
122:  1/5 : 86.2% | 2/5 : 70.7% | 3/5 : 57.7% | 4/5 : 49.6% | 5/5 : 43.1% | 6/5 : 307.3% ||
123:  1/5 : 86.3% | 2/5 : 70.2% | 3/5 : 57.3% | 4/5 : 49.2% | 5/5 : 42.7% | 6/5 : 305.6% ||
124:  1/5 : 86.4% | 2/5 : 70.4% | 3/5 : 57.6% | 4/5 : 49.6% | 5/5 : 43.2% | 6/5 : 307.2% ||
125:  1/5 : 86.5% | 2/5 : 70.6% | 3/5 : 57.9% | 4/5 : 50.0% | 5/5 : 43.7% | 6/5 : 308.7% ||
126:  1/5 : 85.8% | 2/5 : 70.1% | 3/5 : 57.5% | 4/5 : 49.6% | 5/5 : 43.3% | 6/5 : 306.3% ||
127:  1/5 : 85.9% | 2/5 : 70.3% | 3/5 : 57.0% | 4/5 : 49.2% | 5/5 : 43.0% | 6/5 : 305.5% ||
128:  1/5 : 86.0% | 2/5 : 70.5% | 3/5 : 57.4% | 4/5 : 49.6% | 5/5 : 43.4% | 6/5 : 307.0% ||
129:  1/5 : 86.2% | 2/5 : 70.8% | 3/5 : 57.7% | 4/5 : 50.0% | 5/5 : 43.1% | 6/5 : 307.7% ||
130:  1/5 : 86.3% | 2/5 : 71.0% | 3/5 : 58.0% | 4/5 : 50.4% | 5/5 : 42.7% | 6/5 : 308.4% ||
131:  1/5 : 86.4% | 2/5 : 70.5% | 3/5 : 57.6% | 4/5 : 50.0% | 5/5 : 42.4% | 6/5 : 306.8% ||
132:  1/5 : 86.5% | 2/5 : 70.7% | 3/5 : 57.9% | 4/5 : 50.4% | 5/5 : 42.9% | 6/5 : 308.3% ||
133:  1/5 : 86.6% | 2/5 : 70.9% | 3/5 : 58.2% | 4/5 : 50.0% | 5/5 : 42.5% | 6/5 : 308.2% ||
134:  1/5 : 85.9% | 2/5 : 70.4% | 3/5 : 57.8% | 4/5 : 49.6% | 5/5 : 42.2% | 6/5 : 305.9% ||
135:  1/5 : 86.0% | 2/5 : 70.6% | 3/5 : 58.1% | 4/5 : 50.0% | 5/5 : 41.9% | 6/5 : 306.6% ||
136:  1/5 : 86.1% | 2/5 : 70.8% | 3/5 : 58.4% | 4/5 : 50.4% | 5/5 : 42.3% | 6/5 : 308.0% ||
137:  1/5 : 86.2% | 2/5 : 71.0% | 3/5 : 58.7% | 4/5 : 50.7% | 5/5 : 42.8% | 6/5 : 309.4% ||
138:  1/5 : 86.3% | 2/5 : 71.2% | 3/5 : 59.0% | 4/5 : 50.4% | 5/5 : 42.4% | 6/5 : 309.4% ||
139:  1/5 : 86.4% | 2/5 : 71.4% | 3/5 : 59.3% | 4/5 : 50.7% | 5/5 : 42.9% | 6/5 : 310.7% ||
140:  1/5 : 86.5% | 2/5 : 71.6% | 3/5 : 58.9% | 4/5 : 50.4% | 5/5 : 42.6% | 6/5 : 309.9% ||
141:  1/5 : 86.6% | 2/5 : 71.8% | 3/5 : 59.2% | 4/5 : 50.0% | 5/5 : 42.3% | 6/5 : 309.9% ||
142:  1/5 : 86.0% | 2/5 : 71.3% | 3/5 : 58.7% | 4/5 : 49.7% | 5/5 : 42.0% | 6/5 : 307.7% ||
143:  1/5 : 86.1% | 2/5 : 71.5% | 3/5 : 59.0% | 4/5 : 50.0% | 5/5 : 42.4% | 6/5 : 309.0% ||
144:  1/5 : 85.5% | 2/5 : 71.0% | 3/5 : 58.6% | 4/5 : 49.7% | 5/5 : 42.1% | 6/5 : 306.9% ||
145:  1/5 : 85.6% | 2/5 : 70.5% | 3/5 : 58.2% | 4/5 : 49.3% | 5/5 : 41.8% | 6/5 : 305.5% ||
146:  1/5 : 85.0% | 2/5 : 70.1% | 3/5 : 57.8% | 4/5 : 49.0% | 5/5 : 41.5% | 6/5 : 303.4% ||
147:  1/5 : 85.1% | 2/5 : 70.3% | 3/5 : 57.4% | 4/5 : 48.6% | 5/5 : 41.2% | 6/5 : 302.7% ||
148:  1/5 : 85.2% | 2/5 : 69.8% | 3/5 : 57.0% | 4/5 : 48.3% | 5/5 : 40.9% | 6/5 : 301.3% ||
149:  1/5 : 85.3% | 2/5 : 70.0% | 3/5 : 57.3% | 4/5 : 48.7% | 5/5 : 41.3% | 6/5 : 302.7% ||
150:  1/5 : 85.4% | 2/5 : 70.2% | 3/5 : 57.0% | 4/5 : 48.3% | 5/5 : 41.1% | 6/5 : 302.0% ||
151:  1/5 : 85.5% | 2/5 : 70.4% | 3/5 : 56.6% | 4/5 : 48.0% | 5/5 : 40.8% | 6/5 : 301.3% ||
152:  1/5 : 85.6% | 2/5 : 70.6% | 3/5 : 56.9% | 4/5 : 48.4% | 5/5 : 41.2% | 6/5 : 302.6% ||
153:  1/5 : 85.7% | 2/5 : 70.8% | 3/5 : 57.1% | 4/5 : 48.7% | 5/5 : 41.6% | 6/5 : 303.9% ||
154:  1/5 : 85.8% | 2/5 : 71.0% | 3/5 : 57.4% | 4/5 : 49.0% | 5/5 : 41.9% | 6/5 : 305.2% ||
155:  1/5 : 85.9% | 2/5 : 71.2% | 3/5 : 57.7% | 4/5 : 49.4% | 5/5 : 42.3% | 6/5 : 306.4% ||
156:  1/5 : 85.4% | 2/5 : 70.7% | 3/5 : 57.3% | 4/5 : 49.0% | 5/5 : 42.0% | 6/5 : 304.5% ||
157:  1/5 : 85.4% | 2/5 : 70.9% | 3/5 : 57.6% | 4/5 : 49.4% | 5/5 : 42.4% | 6/5 : 305.7% ||
158:  1/5 : 84.9% | 2/5 : 70.4% | 3/5 : 57.2% | 4/5 : 49.1% | 5/5 : 42.1% | 6/5 : 303.8% ||
159:  1/5 : 85.0% | 2/5 : 70.6% | 3/5 : 57.5% | 4/5 : 49.4% | 5/5 : 42.5% | 6/5 : 305.0% ||
160:  1/5 : 85.1% | 2/5 : 70.8% | 3/5 : 57.8% | 4/5 : 49.7% | 5/5 : 42.9% | 6/5 : 306.2% ||
161:  1/5 : 85.2% | 2/5 : 71.0% | 3/5 : 58.0% | 4/5 : 50.0% | 5/5 : 43.2% | 6/5 : 307.4% ||
162:  1/5 : 85.3% | 2/5 : 71.2% | 3/5 : 58.3% | 4/5 : 50.3% | 5/5 : 43.6% | 6/5 : 308.6% ||
163:  1/5 : 85.4% | 2/5 : 71.3% | 3/5 : 58.5% | 4/5 : 50.6% | 5/5 : 43.9% | 6/5 : 309.8% ||
