196/250: 0.792 | 0.543 | 0.457 | 0.335 | 0.279 | 
197/250: 0.793 | 0.540 | 0.455 | 0.333 | 0.278 | 
198/250: 0.789 | 0.538 | 0.452 | 0.332 | 0.276 | 
199/250: 0.785 | 0.535 | 0.450 | 0.330 | 0.275 | 
200/250: 0.781 | 0.532 | 0.448 | 0.328 | 0.274 | 
201/250: 0.777 | 0.530 | 0.446 | 0.327 | 0.272 | 
202/250: 0.778 | 0.532 | 0.448 | 0.330 | 0.276 | 
203/250: 0.775 | 0.529 | 0.446 | 0.328 | 0.275 | 
204/250: 0.776 | 0.532 | 0.444 | 0.327 | 0.273 | 
205/250: 0.777 | 0.534 | 0.447 | 0.330 | 0.277 | 
206/250: 0.778 | 0.536 | 0.444 | 0.329 | 0.275 | 
207/250: 0.779 | 0.538 | 0.442 | 0.327 | 0.274 | 
208/250: 0.780 | 0.541 | 0.445 | 0.330 | 0.278 | 
209/250: 0.776 | 0.538 | 0.443 | 0.329 | 0.276 | 
210/250: 0.777 | 0.536 | 0.441 | 0.327 | 0.275 | 
211/250: 0.778 | 0.538 | 0.443 | 0.330 | 0.278 | 
212/250: 0.779 | 0.540 | 0.446 | 0.329 | 0.277 | 
213/250: 0.780 | 0.542 | 0.449 | 0.327 | 0.276 | 
214/250: 0.781 | 0.544 | 0.451 | 0.330 | 0.279 | 
215/250: 0.782 | 0.542 | 0.449 | 0.329 | 0.278 | 
216/250: 0.783 | 0.544 | 0.452 | 0.332 | 0.281 | 
217/250: 0.784 | 0.546 | 0.450 | 0.330 | 0.280 | 
218/250: 0.785 | 0.548 | 0.452 | 0.333 | 0.283 | 
219/250: 0.786 | 0.550 | 0.455 | 0.336 | 0.286 | 
220/250: 0.787 | 0.548 | 0.452 | 0.335 | 0.285 | 
221/250: 0.788 | 0.550 | 0.455 | 0.338 | 0.288 | 
222/250: 0.789 | 0.547 | 0.453 | 0.336 | 0.287 | 
223/250: 0.786 | 0.545 | 0.451 | 0.335 | 0.286 | 
224/250: 0.787 | 0.547 | 0.453 | 0.338 | 0.284 | 
225/250: 0.788 | 0.549 | 0.456 | 0.341 | 0.288 | 
226/250: 0.789 | 0.551 | 0.458 | 0.344 | 0.291 | 
227/250: 0.789 | 0.553 | 0.461 | 0.346 | 0.294 | 
228/250: 0.790 | 0.555 | 0.463 | 0.349 | 0.297 | 
229/250: 0.791 | 0.552 | 0.461 | 0.348 | 0.296 | 
230/250: 0.788 | 0.550 | 0.459 | 0.346 | 0.294 | 
231/250: 0.784 | 0.547 | 0.457 | 0.345 | 0.293 | 
232/250: 0.785 | 0.549 | 0.455 | 0.343 | 0.292 | 
233/250: 0.786 | 0.547 | 0.453 | 0.342 | 0.291 | 
234/250: 0.787 | 0.549 | 0.451 | 0.340 | 0.289 | 
235/250: 0.788 | 0.547 | 0.449 | 0.339 | 0.288 | 
236/250: 0.789 | 0.549 | 0.451 | 0.338 | 0.287 | 
237/250: 0.790 | 0.546 | 0.450 | 0.336 | 0.286 | 
238/250: 0.791 | 0.548 | 0.452 | 0.339 | 0.289 | 
239/250: 0.792 | 0.550 | 0.454 | 0.338 | 0.287 | 
