52/250: 0.906 | 0.774 | 0.660 | 0.566 | 0.472 | 
53/250: 0.889 | 0.759 | 0.648 | 0.556 | 0.463 | 
54/250: 0.891 | 0.764 | 0.655 | 0.564 | 0.473 | 
55/250: 0.893 | 0.768 | 0.661 | 0.571 | 0.482 | 
56/250: 0.895 | 0.772 | 0.667 | 0.579 | 0.491 | 
57/250: 0.897 | 0.776 | 0.672 | 0.586 | 0.500 | 
58/250: 0.898 | 0.780 | 0.678 | 0.593 | 0.508 | 
59/250: 0.900 | 0.783 | 0.667 | 0.583 | 0.500 | 
60/250: 0.902 | 0.787 | 0.672 | 0.590 | 0.508 | 
61/250: 0.903 | 0.790 | 0.661 | 0.581 | 0.500 | 
62/250: 0.905 | 0.794 | 0.667 | 0.587 | 0.492 | 
63/250: 0.906 | 0.797 | 0.656 | 0.578 | 0.484 | 
64/250: 0.908 | 0.800 | 0.662 | 0.585 | 0.492 | 
65/250: 0.909 | 0.788 | 0.652 | 0.576 | 0.485 | 
66/250: 0.910 | 0.791 | 0.657 | 0.582 | 0.493 | 
67/250: 0.897 | 0.779 | 0.647 | 0.574 | 0.485 | 
68/250: 0.884 | 0.768 | 0.638 | 0.565 | 0.478 | 
69/250: 0.886 | 0.771 | 0.643 | 0.571 | 0.471 | 
70/250: 0.887 | 0.775 | 0.648 | 0.577 | 0.479 | 
71/250: 0.889 | 0.764 | 0.639 | 0.569 | 0.472 | 
72/250: 0.890 | 0.767 | 0.644 | 0.575 | 0.466 | 
73/250: 0.892 | 0.770 | 0.649 | 0.581 | 0.473 | 
74/250: 0.893 | 0.773 | 0.653 | 0.573 | 0.467 | 
75/250: 0.895 | 0.776 | 0.658 | 0.579 | 0.474 | 
76/250: 0.896 | 0.779 | 0.662 | 0.584 | 0.481 | 
77/250: 0.897 | 0.782 | 0.667 | 0.590 | 0.474 | 
78/250: 0.899 | 0.785 | 0.671 | 0.595 | 0.481 | 
79/250: 0.900 | 0.787 | 0.675 | 0.600 | 0.475 | 
80/250: 0.901 | 0.790 | 0.679 | 0.593 | 0.469 | 
81/250: 0.902 | 0.793 | 0.683 | 0.598 | 0.476 | 
82/250: 0.904 | 0.795 | 0.687 | 0.602 | 0.470 | 
83/250: 0.905 | 0.798 | 0.690 | 0.607 | 0.476 | 
84/250: 0.906 | 0.800 | 0.682 | 0.600 | 0.471 | 
85/250: 0.907 | 0.802 | 0.674 | 0.593 | 0.465 | 
86/250: 0.908 | 0.805 | 0.678 | 0.598 | 0.471 | 
87/250: 0.909 | 0.795 | 0.670 | 0.591 | 0.466 | 
88/250: 0.910 | 0.798 | 0.674 | 0.584 | 0.461 | 
89/250: 0.911 | 0.800 | 0.678 | 0.589 | 0.456 | 
90/250: 0.901 | 0.791 | 0.670 | 0.582 | 0.451 | 
91/250: 0.891 | 0.783 | 0.663 | 0.576 | 0.446 | 
92/250: 0.892 | 0.785 | 0.667 | 0.581 | 0.452 | 
93/250: 0.894 | 0.787 | 0.670 | 0.574 | 0.447 | 
94/250: 0.895 | 0.789 | 0.674 | 0.579 | 0.453 | 
95/250: 0.896 | 0.792 | 0.677 | 0.573 | 0.448 | 
96/250: 0.897 | 0.794 | 0.680 | 0.577 | 0.454 | 
97/250: 0.898 | 0.786 | 0.673 | 0.571 | 0.449 | 
98/250: 0.899 | 0.788 | 0.677 | 0.576 | 0.455 | 
